idstatementnav,Fund_full_Name,Date,StatementOfNav,Investments,ListedSecurities,RegisteredEquities,IpoInvestment,GovernmentBonds,CorporateDebentures,OtherGovernmentSecurities,BankFixedDeposits,OtherInvestments,CurrentAssets,BankBalance,OtherCurrentAssets,CurrentLiabilities,NetAssetValueGross,FundManagementAndDepositoryFee1,FundSupervisorFee1,NetAssetValue,UnitsOutstanding,NavPerUnit,IncomeStatement,Income,RealisedIncome,UnrealisedIncome,Expenses,PreoperatingExpenses,NoticePublicationFee,AuditFee,FundManagementAndDepositaryFee2,FundSupervisorFee2,OtherExpenses,NetIncome,Ticker
297,Siddhartha Equity Fund,4/13/2018,0,379600.217,207663.413,21936.804,0,0,0,0,150000,0,1125849.595,1124621.746,1227.849,72.004,1505377.808,8230.497,352.668,1496794.643,150000,9.9786,0,18102.891,44877.94,-26775.049,21308.246,3696.669,118.43,52.884,14436.001,554.262,2450,-3205.355,SEF
320,NIC Asia Growth Fund,5/14/2018,0,210358.605,89325.791,1032.814,0,0,0,0,120000,0,667861.153,665768.836,2092.317,35426.642,842793.116,1610.543,71.58,841110.993,83520,10.0708,0,14858.106,11147.95,3710.156,8947.112,3892.074,496.074,50.394,3310.596,147.138,1050.836,5910.994,NICGF
319,Citizens Mutual Fund 1,5/14/2018,0,819695.517,27042.2,651.549,0,0,0,0,792001.768,0,17548.814,10105.054,7443.76,2879.69,834364.641,3235.068,287.5,830842.073,82000,10.1322,0,18083.598,10277.198,7806.4,7241.524,1398.493,1630.766,23.127,3235.068,287.5,666.57,10842.074,CMF1
318,Sanima Equity Fund,5/14/2018,0,512710.157,236303.242,16406.915,0,0,0,0,260000,0,819020.725,809712.294,9308.431,10754.529,1320976.353,2524.332,168.289,1318283.732,130000,10.1406,0,37283.548,34806.287,2477.261,18999.815,5630.215,1216.176,77.931,11209.668,747.311,118.514,18283.733,SAEF
317,Siddhartha Equity Fund,5/14/2018,0,388013.325,213783.577,24229.748,0,0,0,0,150000,0,1149536.34,1138736.34,10800,82.668,1537466.997,11152.131,470.538,1525844.328,150000,10.1723,0,50215.046,46108.478,4106.568,24370.718,3696.669,130.89,63.393,17357.635,672.131,2450,25844.328,SEF
333,Citizens Mutual Fund 1,6/14/2018,0,823986.365,95684.043,2088.678,0,0,0,0,726213.644,0,20767.66,1893.448,18874.212,5058.699,839695.326,4627.944,350,834717.382,82000,10.1795,0,23811.17,10488.76,13322.41,9093.793,1398.493,1639.776,31.62,4627.944,350,1045.96,14717.377,CMF1
332,Sanima Equity Fund,6/14/2018,0,534781.173,266407.61,8373.563,0,0,0,0,260000,0,792332.121,771330.602,21001.519,11105.583,1316007.711,2514.837,167.656,1313325.218,130000,10.1025,0,35038.956,35729.091,-690.135,21713.737,5630.215,1227.615,95.187,13724.505,914.967,121.248,13325.219,SAEF
328,NIC Asia Growth Fund,6/14/2018,0,286369.362,131395.572,5581.79,0,0,0,29392,120000,0,568230.082,557274.13,10955.952,13722.897,840876.547,1606.88,71.417,839198.25,83520,10.0479,0,14694.71,16263.018,-1568.308,10696.461,3892.075,504.212,74.805,4917.477,218.555,1089.337,3998.249,NICGF
327,Siddhartha Equity Fund,6/14/2018,0,409251.281,239468.701,13739.591,0,6042.989,0,0,150000,0,1128108.415,1105443.789,22664.626,93.892,1537265.804,14067.572,588.854,1522609.378,150000,10.1507,0,50039.641,47306.907,2732.734,27430.263,3696.669,146.168,73.902,20273.076,790.448,2450,22609.378,SEF
347,NIC Asia Growth Fund,7/16/2018,0,320937.925,156774.67,17000.746,0,0,0,29458.947,117703.562,0,537711.096,523572.024,14139.072,15226.032,843422.989,1663.739,73.944,841685.306,83520,10.0776,0,18983.8763,26706.173,-7722.2967,12498.57,3895.64,504.212,100,6581.215,292.498,1125.005,6485.3063,NICGF
346,Sanima Equity Fund,7/16/2018,0,591068.196,274138.498,56929.698,0,0,0,0,260000,0,779899.469,757509.758,22389.711,49084.135,1321883.53,2607.551,173.837,1319102.142,130000,10.1469,0,43627.015,63713.973,-20086.958,24524.872,5630.215,1239.054,113,16332.056,1088.804,121.743,19102.143,SAEF
341,Citizens Mutual Fund 1,7/16/2018,0,178986.21,147009.609,1976.601,0,0,0,0,30000,0,665933.615,661387.69,4545.925,647.511,844272.314,6136.887,415,837720.427,82000,10.2161,0,28072.559,30972.586,-2900.027,10352.132,1398.493,1647.412,84.75,6136.887,415,669.59,17720.427,CMF1
340,Siddhartha Equity Fund,7/16/2018,0,466068.48,239228.933,70796.557,0,6042.99,0,0,150000,0,1079306.592,1044083.826,35222.766,17987.071,1527388.001,0,0,1527388.001,150000,10.1826,0,58068.861,81458.982,-23390.121,30680.859,3704.919,178.467,84.75,23350.178,912.545,2450,27388.002,SEF
352,Citizens Mutual Fund 1,8/16/2018,0,250528.299,168696.033,1832.266,0,0,0,0,80000,0,604260.795,601057.747,3203.048,14108.433,840680.661,1392.877,65,839222.784,82000,10.2344,0,2995.847,1980.984,1014.863,1493.488,0,13.144,7.198,1392.877,65,15.269,1502.359,CMF1
351,Siddhartha Equity Fund,8/16/2018,0,546170.892,230221.058,159906.814,0,6043.02,0,0,150000,0,996807.734,966884.97,29922.764,1319.184,1541659.442,2946.047,120.185,1538593.21,150000,10.2573,0,14467.747,591.897,13875.85,3257.328,0,33.899,7.197,2946.047,120.185,150,11210.419,SEF
357,NIC Asia Growth Fund,8/16/2018,0,447096.907,297339.81,40298.15,0,0,0,29458.947,80000,0,426561.294,419323.248,7238.046,22271.941,851386.26,1626.964,72.31,849686.986,83520,10.1735,0,2162.551,3797.26,-1634.709,1895.979,0,17.901,8.494,1626.964,72.31,170.31,266.572,NICGF
358,Sanima Equity Fund,8/16/2018,0,605432.473,291197.411,54235.062,0,0,0,0,260000,0,728266.37,717989.968,10276.402,899.801,1332799.042,2546.924,169.795,1330082.323,130000,10.2314,0,13275.68,584.637,12691.043,2908.184,0,11.898,9.417,2546.924,169.795,170.15,10367.496,SAEF
364,NIC Asia Growth Fund,9/16/2018,0,501188.913,352324.051,35905.915,0,0,0,29458.947,83500,0,375517.816,372709.989,2807.827,10491.238,866215.491,1655.302,73.569,864486.62,83520,10.3507,0,18710.354,10180.97,8529.384,3644.149,0,27.935,16.987,3282.254,145.878,171.095,15066.205,NICGF
367,Siddhartha Equity Fund,9/16/2018,0,653039.009,396830.809,100165.211,0,6042.989,0,0,150000,0,937155.929,846916.18,90239.749,19399.483,1570795.455,5941.913,245.667,1564607.875,150000,10.4307,0,43674.028,595.399,43078.629,6448.944,0,46.969,14.395,5941.913,245.667,200,37225.084,SEF
372,Citizens Mutual Fund 1,9/16/2018,0,373017.813,204776.538,88241.275,0,0,0,0,80000,0,486153.618,451064.752,35088.866,3127.437,856043.994,2785.753,130,853128.241,82000,10.404,0,18428.426,3532.868,14895.558,3020.611,0,60.12,14.396,2785.753,130,30.342,15407.815,CMF1
373,Sanima Equity Fund,9/16/2018,0,655693.847,376927.074,18766.773,0,0,0,0,260000,0,700492.869,663733.458,36759.411,3524.435,1352662.281,2584.882,172.325,1349905.074,130000,10.3839,0,35927.117,3169.362,32757.755,5736.87,0,23.796,18.833,5131.806,342.12,220.315,30190.247,SAEF
